,Planned dates,MRP element,Start date,MRP elmnt data,Rescheduling date,Exception,Rec./reqd qty,Avail. quantity,Plng plant,Stor. Loc.,Delivery P,Shipping c
,2023/12/18,PurRqs,2023/12/15,0399520146/00010,,,5,5,701B,1000,,
,2023/12/26,PurRqs,2023/12/22,0399520147/00010,,,4,4,701B,1000,,
,2024/1/2,PurRqs,2024/1/1,0399520148/00010,,,5,5,701B,1000,,
,2024/1/9,PurRqs,2024/1/8,0399520149/00010,,,4,4,701B,1000,,
,2024/1/23,PurRqs,2024/1/22,0399520150/00010,,,5,5,701B,1000,,
,2024/1/30,PurRqs,2024/1/29,0399520151/00010,,,4,4,701B,1000,,
,2024/2/6,PurRqs,2024/2/5,0401089566/00010,,,5,5,701B,1000,,
,2024/2/13,PurRqs,2024/2/12,0402399301/00010,,,4,4,701B,1000,,
,2024/2/20,PurRqs,2024/2/19,0403804015/00010,,,5,5,701B,1000,,
,2024/2/27,PurRqs,2024/2/26,0405367335/00010,,,4,4,701B,1000,,
,2024/3/5,PurRqs,2024/3/4,0386413782/00010,,,5,5,701B,1000,,
